# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 01 Dec 2025 03:02:41 +0100
#
# IP	number of (black)lists
#
2.57.121.112	10
80.82.77.33	9
93.174.95.106	9
178.62.201.8	9
2.57.121.25	8
61.245.11.87	8
62.60.131.157	8
66.132.153.128	8
71.6.135.131	8
80.94.92.182	8
80.94.92.184	8
80.94.92.186	8
86.54.31.34	8
89.35.130.146	8
106.75.239.166	8
150.241.115.127	8
162.142.125.115	8
162.142.125.122	8
162.142.125.205	8
167.94.146.50	8
167.94.146.52	8
167.94.146.53	8
167.179.81.184	8
186.96.145.241	8
193.46.255.103	8
193.46.255.217	8
196.188.63.85	8
198.98.53.110	8
206.168.34.61	8
206.168.34.113	8
220.80.223.144	8
1.55.33.86	7
3.130.96.91	7
3.131.215.38	7
3.132.23.201	7
3.143.33.63	7
5.101.64.6	7
8.222.181.172	7
14.29.240.154	7
14.63.196.175	7
14.225.230.51	7
27.111.32.174	7
27.254.137.144	7
35.222.117.243	7
36.50.54.6	7
36.133.64.211	7
43.252.231.122	7
46.161.50.108	7
49.64.169.153	7
50.84.211.204	7
57.128.190.44	7
58.49.26.202	7
59.12.160.91	7
60.199.224.2	7
64.62.197.137	7
64.62.197.152	7
64.227.174.243	7
66.132.153.122	7
66.132.153.127	7
66.132.153.131	7
66.132.153.134	7
66.132.153.143	7
66.175.213.4	7
66.240.236.119	7
68.183.88.186	7
71.6.158.166	7
71.6.199.23	7
80.82.77.139	7
80.94.92.164	7
80.94.92.165	7
80.94.92.166	7
80.94.93.119	7
81.211.72.167	7
83.168.69.9	7
83.235.16.111	7
85.18.236.229	7
86.54.31.32	7
86.54.31.42	7
92.118.39.92	7
92.118.39.95	7
94.76.235.230	7
94.102.49.193	7
95.58.255.251	7
95.167.225.76	7
101.36.104.242	7
103.26.136.173	7
103.56.115.6	7
103.113.105.228	7
103.154.77.48	7
103.172.237.182	7
103.210.21.20	7
103.233.206.154	7
109.237.26.206	7
119.96.157.188	7
121.52.147.5	7
121.224.115.232	7
122.155.0.205	7
122.165.60.231	7
139.9.25.4	7
143.20.185.79	7
144.31.120.242	7
147.185.132.22	7
152.32.250.188	7
156.245.248.226	7
160.174.129.232	7
161.118.129.223	7
162.142.125.42	7
162.142.125.43	7
162.142.125.118	7
162.142.125.124	7
162.142.125.193	7
162.142.125.195	7
162.142.125.197	7
162.142.125.203	7
162.142.125.206	7
162.142.125.211	7
162.142.125.217	7
163.5.148.15	7
164.177.31.66	7
165.154.233.77	7
167.94.138.122	7
167.94.146.49	7
167.94.146.51	7
167.94.146.55	7
167.94.146.56	7
167.94.146.57	7
167.94.146.59	7
167.94.146.62	7
168.194.164.218	7
171.220.244.134	7
172.105.128.13	7
176.32.195.85	7
178.176.250.39	7
179.33.186.151	7
181.212.81.228	7
185.141.132.26	7
185.228.135.173	7
186.96.151.198	7
186.118.142.216	7
189.112.0.11	7
189.126.4.42	7
190.111.211.81	7
190.124.153.17	7
190.129.122.185	7
192.155.90.118	7
192.155.90.220	7
193.32.162.157	7
193.46.255.7	7
193.46.255.20	7
193.46.255.33	7
193.46.255.99	7
193.46.255.159	7
193.106.245.20	7
193.142.147.209	7
198.12.114.232	7
200.118.99.170	7
200.196.50.91	7
201.76.120.30	7
203.0.104.170	7
206.168.34.35	7
206.168.34.36	7
206.168.34.39	7
206.168.34.54	7
206.168.34.55	7
206.168.34.59	7
206.168.34.119	7
206.168.34.125	7
213.55.85.202	7
216.180.246.149	7
216.180.246.176	7
218.56.160.82	7
219.150.93.157	7
221.159.150.85	7
221.229.218.50	7
222.102.214.75	7
223.247.218.112	7
1.212.225.99	6
1.214.197.163	6
1.221.66.66	6
2.45.3.241	6
2.59.22.234	6
3.134.148.59	6
3.137.73.221	6
3.149.59.26	6
4.155.45.96	6
5.129.206.24	6
5.189.160.96	6
12.156.67.18	6
14.18.248.204	6
14.29.198.130	6
14.29.206.99	6
14.63.160.31	6
14.63.217.28	6
14.97.117.34	6
14.103.64.39	6
14.103.84.166	6
14.103.92.40	6
14.103.107.229	6
14.103.109.71	6
